raw_x_east,raw_y_north,x_east,y_north
661409.5615,1509697.152,661411.4017,1509697.873
661409.1658,1509696.984,661410.9879,1509697.712
661408.7702,1509696.816,661410.5796,1509697.549
661408.3745,1509696.647,661410.1731,1509697.387
661407.997,1509696.46,661409.772,1509697.22
661407.6014,1509696.292,661409.3728,1509697.053
661407.2058,1509696.105,661408.9753,1509696.885
661406.8103,1509695.918,661408.5797,1509696.715
661406.4147,1509695.732,661408.1859,1509696.541
661406.0372,1509695.545,661407.7938,1509696.365
661405.6597,1509695.358,661407.4037,1509696.186
661405.2823,1509695.153,661407.0153,1509696.003
661404.9228,1509694.967,661406.6306,1509695.818
661404.5635,1509694.761,661406.2495,1509695.629
661404.1861,1509694.556,661405.8684,1509695.439
661403.8267,1509694.351,661405.4909,1509695.245
661403.4494,1509694.128,661405.1153,1509695.047
661403.0721,1509693.904,661404.7415,1509694.846
661402.6948,1509693.681,661404.3695,1509694.64
661402.3176,1509693.457,661403.9975,1509694.432
661401.9404,1509693.215,661403.6256,1509694.217
661401.5632,1509692.973,661403.2537,1509693.999
661401.1862,1509692.713,661402.88,1509693.774
661400.8091,1509692.452,661402.5046,1509693.543
661400.414,1509692.191,661402.1274,1509693.306
661400.037,1509691.931,661401.7484,1509693.064
661399.6421,1509691.634,661401.3676,1509692.815
661399.2471,1509691.355,661400.9851,1509692.56
661398.8524,1509691.039,661400.6009,1509692.296
661398.4755,1509690.741,661400.2167,1509692.024
661398.0808,1509690.426,661399.8307,1509691.745
661397.7041,1509690.11,661399.4448,1509691.459
661397.3274,1509689.794,661399.0589,1509691.167
661396.9686,1509689.497,661398.6749,1509690.872
661396.6099,1509689.181,661398.2945,1509690.571
661396.2512,1509688.865,661397.9159,1509690.264
661395.9105,1509688.55,661397.5427,1509689.956
661395.5699,1509688.234,661397.175,1509689.644
661395.2112,1509687.919,661396.8109,1509689.332
661394.8706,1509687.585,661396.4504,1509689.016
661394.53,1509687.269,661396.0953,1509688.7
661394.1893,1509686.954,661395.7438,1509688.385
661393.8488,1509686.62,661395.396,1509688.067
661393.5263,1509686.286,661395.0518,1509687.746
661393.2036,1509685.97,661394.7111,1509687.425
661392.8811,1509685.636,661394.3741,1509687.102
661392.5765,1509685.321,661394.0407,1509686.779
661392.2721,1509684.987,661393.711,1509686.455
661391.9677,1509684.635,661393.3866,1509686.126
661391.6452,1509684.301,661393.0641,1509685.798
661391.3406,1509683.986,661392.7451,1509685.47
661391.0542,1509683.634,661392.4316,1509685.138
661390.7496,1509683.319,661392.1217,1509684.808
661390.4453,1509682.966,661391.8136,1509684.476
661390.1408,1509682.633,661391.5073,1509684.142
661389.8364,1509682.28,661391.2028,1509683.806
661389.5319,1509681.947,661390.8984,1509683.469
661389.2276,1509681.594,661390.5939,1509683.13
661388.9232,1509681.242,661390.2895,1509682.79
661388.6369,1509680.89,661389.9887,1509682.449
661388.3504,1509680.557,661389.6896,1509682.106
661388.064,1509680.223,661389.3906,1509681.765
661387.7954,1509679.908,661389.0952,1509681.424
661387.5268,1509679.611,661388.8033,1509681.088
661387.2763,1509679.296,661388.5169,1509680.755
661387.0257,1509679,661388.2358,1509680.427
